puzzle_number,accuracy,timestamp_iso,timestamp_unix
Clean data start,n/a,2026-02-26T13:21:27.511808+00:00Z,1772112087.5118089
Clean data end,n/a,2026-02-26T13:24:27.514027+00:00Z,1772112267.5140278
Chess trial start,n/a,2026-02-26T13:26:12.821901+00:00Z,1772112372.8219018
1,1,2026-02-26T13:26:32.365830+00:00Z,1772112392.3658302
2,1,2026-02-26T13:26:59.521554+00:00Z,1772112419.5215542
3,0,2026-02-26T13:28:07.249703+00:00Z,1772112487.2497032
4,0,2026-02-26T13:28:48.585338+00:00Z,1772112528.5853386
5,0,2026-02-26T13:29:28.891110+00:00Z,1772112568.8911107
6,1,2026-02-26T13:31:08.866854+00:00Z,1772112668.8668547
7,0,2026-02-26T13:32:04.735934+00:00Z,1772112724.7359347
8,1,2026-02-26T13:32:49.533700+00:00Z,1772112769.5337007
9,1,2026-02-26T13:33:13.642251+00:00Z,1772112793.6422515
10,1,2026-02-26T13:33:44.885451+00:00Z,1772112824.885451
11,1,2026-02-26T13:34:34.452267+00:00Z,1772112874.4522672
12,0,2026-02-26T13:35:31.150593+00:00Z,1772112931.1505935
13,0,2026-02-26T13:36:57.006074+00:00Z,1772113017.0060747
14,1,2026-02-26T13:37:47.862044+00:00Z,1772113067.8620443
15,0,2026-02-26T13:38:39.610317+00:00Z,1772113119.6103172
16,1,2026-02-26T13:39:12.868477+00:00Z,1772113152.868477
17,1,2026-02-26T13:41:09.091698+00:00Z,1772113269.0916984
18,0,2026-02-26T13:41:48.011908+00:00Z,1772113308.0119083
19,0,2026-02-26T13:42:25.486372+00:00Z,1772113345.486372
20,0,2026-02-26T13:42:41.259943+00:00Z,1772113361.2599432
21,1,2026-02-26T13:44:06.953536+00:00Z,1772113446.9535365
22,1,2026-02-26T13:45:10.126376+00:00Z,1772113510.1263766
23,0,2026-02-26T13:45:37.574417+00:00Z,1772113537.5744174
