puzzle_number,accuracy,timestamp_iso,timestamp_unix
Clean data start,n/a,2026-02-23T13:39:21.846956+00:00Z,1771853961.8469567
Clean data end,n/a,2026-02-23T13:42:21.849013+00:00Z,1771854141.8490136
Chess trial start,n/a,2026-02-23T13:44:04.191475+00:00Z,1771854244.1914752
1,1,2026-02-23T13:44:45.632805+00:00Z,1771854285.632805
2,1,2026-02-23T13:46:01.276316+00:00Z,1771854361.2763164
3,1,2026-02-23T13:47:17.055151+00:00Z,1771854437.055151
4,0,2026-02-23T13:49:59.826311+00:00Z,1771854599.826311
5,1,2026-02-23T13:50:45.738239+00:00Z,1771854645.7382393
6,0,2026-02-23T13:52:25.573386+00:00Z,1771854745.573386
7,1,2026-02-23T13:53:19.936305+00:00Z,1771854799.9363055
8,1,2026-02-23T13:54:34.772244+00:00Z,1771854874.7722445
9,0,2026-02-23T13:55:07.299602+00:00Z,1771854907.2996023
10,1,2026-02-23T13:57:01.723377+00:00Z,1771855021.7233775
11,0,2026-02-23T13:58:35.724492+00:00Z,1771855115.7244925
12,1,2026-02-23T13:59:39.649369+00:00Z,1771855179.6493697
13,1,2026-02-23T14:01:04.062110+00:00Z,1771855264.06211
14,1,2026-02-23T14:01:58.040595+00:00Z,1771855318.0405953
