puzzle_number,accuracy,timestamp_iso,timestamp_unix
Clean data start,n/a,2026-02-18T14:20:41.889835+00:00Z,1771424441.8898351
Clean data end,n/a,2026-02-18T14:23:41.892992+00:00Z,1771424621.8929923
